Time,Distance,X-Motor
21:53:01,0.0,-100.0
21:53:01,0.0,-100.0
21:53:02,0.0,-100.0
21:53:02,0.0,-100.0
21:53:02,0.0,-100.0
21:53:02,0.0,-100.0
21:53:03,0.0,-100.0
21:53:03,0.0,-100.0
21:53:03,0.0,-100.0
21:53:03,0.0,-100.0
21:53:03,0.0,-100.0
21:53:04,0.0,-100.0
21:53:04,0.0,-100.0
21:53:04,0.0,-100.0
21:53:04,0.0,-100.0
21:53:04,7.34,-97.77666666666667
21:53:05,7.34,-97.77666666666667
21:53:05,20.27,-94.57208333333334
21:53:05,32.57,-70.48982142857142
21:53:05,44.27,-70.43694444444442
21:53:05,55.6,-70.27499999999998
21:53:05,66.17,-69.69149999999998
21:53:05,76.17,-69.59574999999997
21:53:05,85.63,-69.99999999999997
21:53:06,94.62,-69.99999999999999
21:53:06,103.18,-29.999999999999932
21:53:06,111.29,-29.999999999999943
21:53:06,119.04,-29.999999999999936
21:53:06,126.44,-30.423749999999938
21:53:06,133.39,-30.330499999999947
21:53:06,139.99,-30.001249999999953
21:53:07,146.28,-29.68599999999994
21:53:07,152.32,-29.61499999999994
21:53:07,158.06,-29.5895454545454
21:53:07,163.64,-29.999999999999936
21:53:07,168.81,-29.999999999999943
21:53:07,173.68,-29.999999999999936
21:53:07,178.29,8.115488957178454e-14
21:53:08,182.69,-0.4327499999999247
21:53:08,186.95,-0.7676470588234618
21:53:08,191.0,-0.964285714285658
21:53:08,194.74,-0.7889999999999553
21:53:08,198.27,-0.43249999999997796
21:53:08,201.63,0.40750000000001435
21:53:08,204.9,0.7350000000000433
21:53:08,207.95,0.7227272727273284
21:53:09,210.89,0.7260000000000636
21:53:09,213.7,0.4281250000000722
21:53:09,216.28,0.407000000000075
21:53:09,218.84,0.8191304347826827
21:53:09,221.15,0.44062500000007776
21:53:09,223.53,30.00000000000011
21:53:09,225.69,30.00000000000011
21:53:10,227.78,30.000000000000103
21:53:10,229.7,29.526562500000107
21:53:10,231.61,30.00000000000011
21:53:10,231.61,30.00000000000011
21:53:10,233.34,29.555666666666767
21:53:10,235.01,30.00000000000011
21:53:10,236.53,30.000000000000103
21:53:11,238.1,29.543750000000095
21:53:11,238.1,29.543750000000095
21:53:11,239.53,29.57354166666677
21:53:11,240.82,29.56409090909101
21:53:11,242.18,29.554500000000093
21:53:11,243.51,30.0000000000001
21:53:11,244.65,29.573611111111198
21:53:12,245.67,29.601944444444538
21:53:12,246.76,29.586250000000092
21:53:12,247.76,29.617500000000106
21:53:12,248.68,29.595714285714386
21:53:12,249.65,29.310000000000098
21:53:12,250.5,29.60416666666677
21:53:12,251.24,29.635000000000105
21:53:13,252.01,29.600500000000107
21:53:13,252.77,29.638500000000107
21:53:13,253.44,29.672000000000104
21:53:13,254.1,29.631250000000097
21:53:13,254.84,29.6775000000001
21:53:13,255.41,29.7131250000001
21:53:13,256.06,29.671666666666763
21:53:13,256.52,29.710000000000097
21:53:14,256.96,29.74666666666676
21:53:14,257.51,29.792500000000093
21:53:14,257.51,29.792500000000093
21:53:14,257.97,29.830833333333434
21:53:14,258.41,29.80125000000009
21:53:14,258.82,29.852500000000088
21:53:14,259.26,29.907500000000088
21:53:15,259.26,29.907500000000088
21:53:15,259.26,29.907500000000088
21:53:15,259.69,29.96125000000008
21:53:15,259.69,29.96125000000008
21:53:15,260.1,30.01250000000009
21:53:16,260.1,30.01250000000009
21:53:16,260.36,30.045000000000087
21:53:16,260.7,30.087500000000084
21:53:16,261.0,30.125000000000085
21:53:16,261.0,30.125000000000085
21:53:16,261.0,30.125000000000085
21:53:17,261.0,30.125000000000085
21:53:17,261.0,30.125000000000085
21:53:17,254.55,29.659375000000097
21:53:17,248.58,29.238666666666763
21:53:17,242.79,29.569750000000095
21:53:17,237.13,29.560192307692407
21:53:17,231.84,30.000000000000103
21:53:18,226.77,29.511323529411875
21:53:18,221.91,0.8764000000000749
21:53:18,217.33,7.946859544685331e-14
21:53:18,212.98,0.40562500000007173
21:53:18,208.86,0.9492857142857716
21:53:18,204.95,0.5500000000000503
21:53:18,201.22,0.38125000000001913
21:53:19,197.69,-0.5774999999999764
21:53:19,194.34,-0.8489999999999555
21:53:19,191.18,-0.9449999999999409
21:53:19,188.22,-0.7853333333332678
21:53:19,185.31,-0.773157894736772
21:53:19,182.58,-0.4354999999999244
21:53:19,179.96,-0.4174999999999221
21:53:19,177.51,-0.43249999999992167
21:53:20,175.18,-29.53710526315783
21:53:20,173.05,-29.540972222222162
21:53:20,170.9,-29.999999999999943
21:53:20,168.88,-29.999999999999943
21:53:20,166.98,-29.999999999999947
21:53:20,165.15,-29.550892857142806
21:53:20,163.39,-29.999999999999943
21:53:20,161.76,-29.546666666666614
21:53:21,160.27,-29.999999999999943
21:53:21,158.86,-29.571363636363586
21:53:21,157.39,-29.999999999999943
21:53:21,156.03,-29.599249999999948
21:53:21,154.72,-29.59111111111105
21:53:21,153.58,-29.999999999999943
21:53:21,152.41,-29.61218749999994
21:53:21,151.28,-29.247999999999944
21:53:22,150.25,-29.316666666666617
21:53:22,149.42,-29.607499999999938
21:53:22,148.41,-29.64958333333328
21:53:22,147.52,-29.623999999999945
21:53:22,146.65,-29.667499999999947
21:53:22,145.82,-29.636249999999947
21:53:22,145.02,-29.686249999999948
21:53:23,144.35,-29.72812499999995
21:53:23,143.65,-29.695833333333276
21:53:23,142.92,-29.756666666666614
21:53:23,142.37,-29.80249999999995
21:53:23,141.72,-29.78499999999995
21:53:23,141.13,-29.85874999999995
21:53:23,140.53,-29.933749999999954
