Time,Distance,Y-Motor
21:55:16,0.0,0.0
21:55:16,0.0,0.0
21:55:16,0.0,0.0
21:55:16,0.0,0.0
21:55:17,0.0,0.0
21:55:17,0.0,0.0
21:55:17,0.0,0.0
21:55:17,0.0,0.0
21:55:18,0.0,0.0
21:55:18,0.0,0.0
21:55:18,0.0,0.0
21:55:18,0.0,0.0
21:55:18,0.0,0.0
21:55:19,0.0,0.0
21:55:19,0.0,0.0
21:55:19,13.37,1.9094444444444463
21:55:19,25.97,3.249464285714275
21:55:19,38.0,14.770833333333343
21:55:19,49.58,14.81392857142859
21:55:20,60.56,15.03500000000001
21:55:20,70.84,15.193571428571438
21:55:20,80.76,15.000000000000021
21:55:20,90.18,15.235781250000016
21:55:20,99.11,15.000000000000014
21:55:20,107.44,35.00000000000003
21:55:20,115.44,35.00000000000003
21:55:20,122.93,34.78662500000003
21:55:21,130.07,34.79312500000003
21:55:21,136.83,34.867916666666694
21:55:21,143.3,35.13750000000003
21:55:21,149.47,35.19729166666669
21:55:21,155.48,35.21500000000003
21:55:21,160.97,35.00000000000003
21:55:21,166.19,35.23383928571431
21:55:22,171.15,35.22904411764709
21:55:22,175.9,35.24930555555559
21:55:22,180.37,49.57326086956525
21:55:22,184.68,49.78722222222226
21:55:22,188.76,49.625333333333366
21:55:22,192.72,49.81800000000003
21:55:22,192.72,49.81800000000003
21:55:23,196.48,49.608888888888906
21:55:23,200.03,50.00500000000002
21:55:23,203.49,50.24928571428573
21:55:23,206.58,50.299090909090935
21:55:23,209.5,50.5089285714286
21:55:23,212.33,50.51375000000003
21:55:23,215.07,50.209305555555595
21:55:24,217.59,50.00000000000004
21:55:24,220.13,50.20968750000004
21:55:24,222.63,50.41907407407411
21:55:24,224.74,64.52351351351356
21:55:24,226.79,64.75580882352946
21:55:24,228.78,65.00000000000006
21:55:24,230.61,65.00000000000006
21:55:25,232.37,65.00000000000006
21:55:25,234.09,65.00000000000006
21:55:25,235.72,65.00000000000006
21:55:25,237.22,65.00000000000006
21:55:25,238.65,64.77760416666672
21:55:25,240.01,64.77284090909096
21:55:25,241.3,64.78750000000005
21:55:25,242.59,64.78237500000004
21:55:26,243.92,64.79900000000005
21:55:26,245.06,64.79250000000005
21:55:26,246.09,64.78265625000004
21:55:26,247.16,64.79937500000005
21:55:26,248.26,64.60866666666672
21:55:26,249.31,64.64366666666672
21:55:26,250.07,64.79312500000006
21:55:27,250.92,64.81083333333339
21:55:27,251.81,64.82937500000006
21:55:27,252.53,64.81325000000005
21:55:27,253.19,64.82975000000005
21:55:27,253.91,64.84775000000005
21:55:27,254.53,64.82906250000005
21:55:27,255.16,64.84875000000005
21:55:28,255.16,64.84875000000005
21:55:28,255.69,64.86531250000004
21:55:28,256.2,64.84166666666671
21:55:28,256.64,64.86000000000004
21:55:28,256.64,64.86000000000004
21:55:28,256.64,64.86000000000004
21:55:29,256.64,64.86000000000004
21:55:29,257.2,64.88333333333338
21:55:29,257.63,64.90125000000005
21:55:29,258.08,64.88000000000004
21:55:29,258.46,64.90375000000004
21:55:29,258.83,64.92687500000004
21:55:29,259.18,64.94875000000005
21:55:30,259.49,64.96812500000004
21:55:30,259.78,64.98625000000004
21:55:30,260.14,65.00875000000005
21:55:30,260.14,65.00875000000005
21:55:30,260.42,65.02625000000005
21:55:30,260.67,65.04187500000005
21:55:30,260.95,65.05937500000005
21:55:31,260.95,65.05937500000005
21:55:31,261.29,65.08062500000004
21:55:31,261.51,65.09437500000004
21:55:31,261.51,65.09437500000004
21:55:31,261.51,65.09437500000004
21:55:32,254.96,64.84250000000004
21:55:32,248.75,64.62500000000004
21:55:32,242.76,64.78450000000005
21:55:32,237.14,64.78019230769236
21:55:32,231.74,65.00000000000006
21:55:32,226.62,65.00000000000006
21:55:32,221.74,50.43480000000004
21:55:32,217.16,50.21450000000004
21:55:33,212.77,50.000000000000036
21:55:33,208.57,50.329615384615416
21:55:33,204.61,50.41909090909093
21:55:33,200.92,50.15333333333334
21:55:33,197.36,49.706666666666685
21:55:33,193.95,49.621875000000024
21:55:33,190.71,49.642692307692336
21:55:33,187.63,49.63617647058827
21:55:34,184.73,49.7879166666667
21:55:34,181.96,49.79500000000004
21:55:34,179.33,50.00000000000004
21:55:34,176.86,35.00000000000003
21:55:34,174.51,35.22703947368424
21:55:34,172.3,35.00000000000003
21:55:34,170.19,35.00000000000003
21:55:34,168.22,35.2351666666667
21:55:35,166.31,35.219250000000024
21:55:35,164.45,35.2183035714286
21:55:35,162.72,35.00000000000003
21:55:35,161.05,35.21927083333336
21:55:35,159.53,35.22193181818185
21:55:35,158.09,35.20556818181821
21:55:35,156.79,35.209875000000025
21:55:36,155.5,35.40789473684213
21:55:36,154.27,35.3755263157895
21:55:36,153.07,35.20421875000003
21:55:36,151.92,35.212857142857175
21:55:36,150.84,35.36133333333336
21:55:36,149.75,35.20312500000003
21:55:36,148.85,35.18437500000003
21:55:36,147.92,35.19800000000003
21:55:37,147.08,35.177000000000035
21:55:37,146.21,35.15525000000003
21:55:37,145.42,35.169375000000024
21:55:37,144.69,35.14656250000003
21:55:37,144.06,35.12687500000003
21:55:37,143.33,35.13875000000003
21:55:37,142.69,35.11208333333336
21:55:37,142.08,35.08666666666669
21:55:38,141.47,35.09187500000002
21:55:38,140.87,35.05437500000002
21:55:38,140.32,35.020000000000024
21:55:38,139.83,34.989375000000024
21:55:38,139.33,34.958125000000024
21:55:38,138.91,34.93187500000002
21:55:38,138.64,34.91500000000002
21:55:39,138.19,34.886875000000025
21:55:39,137.74,34.90583333333336
