Time,Distance,Disk
21:50:36,0.0,0.0
21:50:36,0.0,0.0
21:50:36,0.0,0.0
21:50:37,0.0,0.0
21:50:37,0.0,0.0
21:50:37,0.0,0.0
21:50:37,0.0,0.0
21:50:37,0.0,0.0
21:50:38,0.0,0.0
21:50:38,0.0,0.0
21:50:38,0.0,0.0
21:50:38,0.0,0.0
21:50:39,0.0,0.0
21:50:39,0.0,0.0
21:50:39,0.0,0.0
21:50:39,0.0,0.0
21:50:39,0.0,0.0
21:50:40,0.0,0.0
21:50:40,0.0,0.0
21:50:40,13.31,0.0
21:50:40,25.93,0.0
21:50:40,38.01,1.2212453270876712e-13
21:50:40,49.38,5.9788461538461535
21:50:40,60.2,87.01
21:50:41,70.48,94.00000000000001
21:50:41,80.33,99.0
21:50:41,89.67,99.0
21:50:41,98.46,99.0
21:50:41,106.91,99.0
21:50:41,106.91,99.0
21:50:42,106.91,99.0
21:50:42,114.9,99.0
21:50:42,122.42,99.0
21:50:42,129.57,99.0
21:50:42,136.36,99.0
21:50:42,142.94,99.0
21:50:42,142.94,99.0
21:50:43,149.08,99.0
21:50:43,154.92,99.0
21:50:43,160.53,99.0
21:50:43,165.86,99.0
21:50:43,171.03,99.0
21:50:43,175.82,99.0
21:50:43,180.36,99.0
21:50:43,184.72,99.0
21:50:44,188.75,99.0
21:50:44,192.62,99.0
21:50:44,192.62,99.0
21:50:44,196.45,99.0
21:50:44,199.94,99.0
21:50:44,203.4,99.0
21:50:44,206.59,99.0
21:50:45,206.59,99.0
21:50:45,209.57,99.0
21:50:45,212.45,99.0
21:50:45,215.07,99.0
21:50:45,217.74,99.0
21:50:45,220.23,99.0
21:50:46,222.49,99.0
21:50:46,224.7,99.0
21:50:46,226.78,99.0
21:50:46,228.71,99.0
21:50:46,230.59,99.0
21:50:46,232.31,99.0
21:50:46,233.96,99.0
21:50:46,235.6,99.0
21:50:47,235.6,99.0
21:50:47,235.6,99.0
21:50:47,237.07,99.0
21:50:47,238.49,99.0
21:50:47,239.81,99.0
21:50:47,241.09,99.0
21:50:48,242.41,99.0
21:50:48,243.6,99.0
