Time,Distance,Z-Motor
21:57:46,0.0,49.75000000000004
21:57:46,0.0,49.75000000000004
21:57:47,0.0,49.75000000000004
21:57:47,0.0,49.75000000000004
21:57:47,0.0,49.75000000000004
21:57:47,0.0,49.75000000000004
21:57:47,0.0,49.75000000000004
21:57:48,0.0,49.75000000000004
21:57:48,0.0,49.75000000000004
21:57:48,0.0,49.75000000000004
21:57:48,0.0,49.75000000000004
21:57:49,0.0,49.75000000000004
21:57:49,0.0,49.75000000000004
21:57:49,0.0,49.75000000000004
21:57:49,13.35,49.75000000000004
21:57:49,25.95,49.75000000000004
21:57:49,37.89,49.75000000000004
21:57:50,49.24,49.75000000000004
21:57:50,60.08,49.75000000000004
21:57:50,70.4,49.75000000000004
21:57:50,80.21,49.75000000000004
21:57:50,89.5,49.75000000000004
21:57:50,98.38,49.75000000000004
21:57:50,106.77,49.75000000000004
21:57:50,114.78,49.75000000000004
21:57:51,122.33,49.75000000000004
21:57:51,129.65,49.75000000000004
21:57:51,136.45,49.75000000000004
21:57:51,142.93,49.75000000000004
21:57:51,149.07,49.75000000000004
21:57:51,154.95,49.75000000000004
21:57:51,160.57,17.250000000000007
21:57:52,165.83,14.750000000000014
21:57:52,171.02,12.747259615384628
21:57:52,175.78,11.250000000000014
21:57:52,180.51,13.250000000000007
21:57:52,184.77,86.00156363636371
21:57:52,188.9,89.75050000000007
21:57:52,192.7,93.0133333333334
21:57:53,196.37,96.2832857142858
21:57:53,199.84,99.50000000000009
21:57:53,203.18,96.77300000000008
21:57:53,206.42,93.76850000000007
21:57:53,209.34,91.25552941176477
21:57:53,212.12,88.75418181818189
21:57:53,214.84,86.2553333333334
21:57:54,217.43,84.00200000000007
21:57:54,219.87,82.7515257352942
21:57:54,222.23,84.00410714285722
21:57:54,224.47,85.25480603448284
21:57:54,226.51,85.00000000000009
21:57:54,228.47,83.50725000000008
21:57:54,230.38,82.50467391304355
21:57:55,232.11,81.50515410958911
21:57:55,233.75,80.75041118421059
21:57:55,233.75,80.75041118421059
21:57:55,233.75,80.75041118421059
21:57:55,235.54,79.75021875000007
21:57:55,237.14,78.75258928571435
21:57:56,238.61,78.25000000000007
21:57:56,240.05,49.75000000000004
21:57:56,241.35,49.75000000000004
21:57:56,242.68,49.75000000000004
21:57:56,243.88,49.75000000000004
21:57:56,244.95,49.75000000000004
21:57:56,245.97,49.75000000000004
21:57:57,247.13,49.75000000000004
21:57:57,247.13,49.75000000000004
21:57:57,248.17,49.75000000000004
21:57:57,249.13,49.75000000000004
21:57:57,250.04,49.75000000000004
21:57:57,250.78,49.75000000000004
21:57:57,251.55,49.75000000000004
21:57:58,252.45,49.75000000000004
21:57:58,253.22,49.75000000000004
21:57:58,253.91,49.75000000000004
21:57:58,254.48,49.75000000000004
21:57:58,255.0,49.75000000000004
21:57:58,255.0,49.75000000000004
21:57:58,255.73,49.75000000000004
21:57:59,256.45,49.75000000000004
21:57:59,257.06,49.75000000000004
21:57:59,257.71,49.75000000000004
21:57:59,258.11,49.75000000000004
21:57:59,258.58,49.75000000000004
21:57:59,259.13,49.75000000000004
21:57:59,259.52,49.75000000000004
21:58:00,260.02,49.75000000000004
21:58:00,260.33,49.75000000000004
21:58:00,260.33,49.75000000000004
21:58:00,253.78,49.75000000000004
21:58:00,247.7,49.75000000000004
21:58:00,241.75,49.75000000000004
21:58:01,236.12,79.25445121951226
21:58:01,230.83,82.25451785714293
21:58:01,225.79,85.00824152542381
21:58:01,220.99,83.25551136363644
21:58:01,216.39,85.00000000000009
21:58:01,212.04,88.75745454545462
21:58:01,207.93,92.50779310344836
21:58:01,204.02,96.01760000000007
21:58:02,200.36,99.42600000000004
21:58:02,196.83,96.77450000000007
21:58:02,193.5,93.76250000000007
21:58:02,190.34,91.00320000000008
21:58:02,187.29,88.25265217391312
21:58:02,184.44,85.50863157894744
21:58:02,181.71,83.25118181818189
21:58:02,179.16,12.990849056603786
21:58:03,176.73,11.74768229166667
21:58:03,174.4,11.247826086956536
21:58:03,172.17,12.247025000000008
21:58:03,170.08,13.000000000000007
21:58:03,168.11,13.750000000000014
21:58:03,166.19,14.750000000000014
21:58:03,164.39,15.500000000000014
21:58:04,162.67,16.250000000000007
21:58:04,161.03,17.000000000000007
21:58:04,159.43,17.500000000000007
21:58:04,157.96,49.75000000000004
21:58:04,156.57,49.75000000000004
21:58:04,155.19,49.75000000000004
21:58:04,153.94,49.75000000000004
21:58:04,152.73,49.75000000000004
21:58:05,151.65,49.75000000000004
21:58:05,150.52,49.75000000000004
21:58:05,149.51,49.75000000000004
21:58:05,148.55,49.75000000000004
21:58:05,147.58,49.75000000000004
21:58:05,146.72,49.75000000000004
21:58:05,145.88,49.75000000000004
21:58:06,145.1,49.75000000000004
21:58:06,144.32,49.75000000000004
21:58:06,143.58,49.75000000000004
21:58:06,142.88,49.75000000000004
21:58:06,142.21,49.75000000000004
21:58:06,141.58,49.75000000000004
21:58:06,140.98,49.75000000000004
21:58:06,140.43,49.75000000000004
21:58:07,139.9,49.75000000000004
21:58:07,139.49,49.75000000000004
21:58:07,139.01,49.75000000000004
21:58:07,138.55,49.75000000000004
21:58:07,138.11,49.75000000000004
21:58:07,137.69,49.75000000000004
21:58:07,137.29,49.75000000000004
21:58:08,136.99,49.75000000000004
21:58:08,136.6,49.75000000000004
21:58:08,136.25,49.75000000000004
21:58:08,135.87,49.75000000000004
21:58:08,135.55,49.75000000000004
21:58:08,135.23,49.75000000000004
21:58:08,134.94,49.75000000000004
21:58:08,134.68,49.75000000000004
